Complaint Name,Project,Country,IAM,Bank,External ID,Status,Filer,IFI Support,Sector,Issues,Description,Registration,Eligibility,Dispute Resolution,Compliance Review,Monitoring
Olyanytsya CAO Complaint,MHP Agribusiness Projects,Ukraine,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Pre-Filed,,Project/investment lending,Agribusiness,"Consultation and disclosure, Other community health and safety issues, Other retaliation (actual or feared), Property damage",Complaint focusing primarily on impacts from heavy vehicle traffic on main road in Olyanytsya; requesting dispute resolution and compliance review,,,,,
Ombla Hydro Power Plant,Ombla Hydro Power Plant,Croatia,European Bank for Reconstruction and Development Project Complaint Mechanism (EBRD PCM),European Bank for Reconstruction and Development,2011/06,Monitoring,Friends of the Earth Croatia,Project/investment lending,"Energy, Infrastructure","Biodiversity, Consultation and disclosure, Due diligence",,11/17/11,11/24/11,7/12/12,,7/12/12
Orion-02/ Gualeguaychu,Orion-02/ Gualeguaychu,Uruguay,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,152,Closed Without Results,Environmental Civic Assembly of Gualeguaychu,Project/investment lending,Manufacturing,"Due diligence, Livelihoods, Other, Other community health and safety issues, Pollution, Water",,8/5/09,,8/31/09,,
Outer Ring Road Project,Outer Ring Road Project,Kenya,African Development Bank Independent Review Mechanism (AfDB IRM),African Development Bank,RQ2015/3-Bis,Closed With Results Outside Process,Unknown,,Infrastructure,"Consultation and disclosure, Displacement (physical and/or economic)",,4/14/14,,,,
Oyu Tolgoi-01/Southern Gobi,Oyu Tolgoi-01/Southern Gobi,Mongolia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,191,Active,"Gobi Soil, OT Watch","Project/investment lending, Risk Guarantee","Extractives (oil, gas, mining)","Displacement (physical and/or economic), Due diligence, Indigenous peoples, Livelihoods, Other community health and safety issues, Water",,10/12/12,,10/12/17,4/1/13,
Oyu Tolgoi-02/Southern Gobi,Oyu Tolgoi-02/Southern Gobi,Mongolia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,196,Active,"Gobi Soil, OT Watch","Project/investment lending, Risk Guarantee","Extractives (oil, gas, mining)","Cultural heritage, Human rights, Indigenous peoples, Livelihoods, Other community health and safety issues, Pollution, Water","<p>Accountability Counsel works with Oyu Tolgoi Watch (“OT Watch”) and several international partners to support some of the world’s last remaining nomadic herder communities, living in the South Gobi region of Mongolia.  We have assisted communities to raise complaints about large-scale mining ventures affecting their water resources and endangering their livelihoods, specifically the Oyu Tolgoi copper and gold mine (“OT Project”) and the Ukhaa Khudag coal mine.</p>

<p>The OT Project has faced fierce community resistance in Mongolia for years.  One of the biggest concerns is the amount of water, a scarce and valuable resource in the South Gobi desert, that the Project will require.  Traditional nomadic herders, who have lived in the region for centuries, have already experienced problems with wells going dry.  Additionally, the infrastructure and construction related to the Project is degrading and fragmenting herders’ traditional pastures, forcing some of them to abandon their herding lifestyles.  Several herders have already experienced devastating herd loss and other impacts after being forced to resettle because of the OT Project. Furthermore, herders complaint that the company forced them to sign unfair contracts in violation of their rights.  They have found the company largely unresponsive to their concerns.</p>

<p>The $13.2 billion OT Project, operated by Rio Tinto, is the largest foreign investment in Mongolia.  Despite the OT Project’s numerous problems, the project is supported by the World Bank Group’s International Finance Corporation (“IFC”) and Multilateral Insurance Guarantee Agency (“MIGA”), as well as the European Bank for Reconstruction and Development (“EBRD”). The Netherlands Development Finance Company (“FMO”), U.S. Export-Import Bank, Export Development Canada and the Australian Export Finance and Insurance Corporation have also committed financing for the project.</p>

<p>Accountability Counsel has supported two complaints to the Compliance Advisor Ombudsman, the accountability office for the IFC and MIGA, raising concerns about the OT Project’s impacts on local water resources and about the adequacy of resettlement and compensation packages. The CAO has convened a dialogue process to assist the herders to reach an agreement with the project company on these issues. The dialogue process is ongoing and has resulted in the establishment of a Tripartite Council, with herder representatives meeting with local government and company representatives on a monthly bases to work towards resolution of the CAO complaints and future community grievances related to the project.</p>

<p>The Ukhaa Khudag coal mine is located on a section of the world’s largest untapped coking coal and thermal coal deposits, the Tavan Tolgoi. The mine is operated by a Mongolian company, Energy Resources LLC, and is commonly referred to as the “Energy Resources Mine.” Most of its coal product is shipped over land to the Chinese boarder, which has led to the gradual development of a sprawling web of mining roads, ranging from paved roads to informal dirt roads intersecting each other and multiplying by the day. These roads and other project infrastructure have led to severe fragmentation of herders’ pastures, excessive dust and unsafe road conditions which in turn have resulted in fatal traffic accidents and other concerns over herder and animal health. The Energy Resources Mine has received financing from the EBRD.</p>

<p>In 2013, local herders filed a series of complaints to the EBRD’s Project Complaint Mechanism (“PCM”) raising concerns about pasture fragmentation, dust, and other impacts from the growing network of roads and infrastructure associated with both the OT Project and Energy Resources Mine. Accountability Counsel has supported herders throughout the complaint process and a compliance audit is currently underway to investigate allegations of EBRD policy violations.</p>",2/11/13,,2/13/13,7/1/13,
PNG SEZ-01/Madang Province,PNG SEZ-01/Madang Province,Papua New Guinea,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,175,Closed With Results,Bismarck Ramu Group (BRG),Advisory services,Regulatory Development,"Biodiversity, Consultation and disclosure, Due diligence, Other, Other environmental",,7/12/11,,7/8/11,2/1/12,
PPCR-01/ Dominica,PPCR-01/ Dominica,Dominica,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,,Closed Without Results,,,,,,1/1/14,,,,
PROSAP,PROSAP,Argentina,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-AR-2011-033,Closed Without Results,,,,Other,,10/1/11,,,,
PT Weda Bay Nickel-01/Weda Bay,PT Weda Bay Nickel-01/Weda Bay,Indonesia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,158,Closed Without Results,Unknown,Risk Guarantee,"Extractives (oil, gas, mining), Manufacturing","Due diligence, Livelihoods, Other environmental, Pollution, Water",,7/6/10,,8/6/10,,
Pakistan Banking,Pakistan Banking,South Asia,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,236,Closed Without Results,,,,Other,,9/1/07,,,,
Pakistan DG Khan Cement,Pakistan DG Khan Cement,Pakistan,Overseas Private Investment Corporation Office of Accountability (OPIC OA),Overseas Private Investment Corporation,pakistan-dg-khan-cement,Closed Without Results,Unknown,,Manufacturing,Due diligence,,11/14/05,11/16/05,12/9/05,,
Pan African Paper-01/Webuye,Pan African Paper-01/Webuye,Kenya,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,83,Closed Without Results,"Center for Environmental and Development Education Programs, Resource Conflict Institute (RECONCILE)","Equity Investment, Project/investment lending",Manufacturing,"Consultation and disclosure, Human rights, Livelihoods, Other community health and safety issues, Pollution, Property damage, Water",,2/1/08,,3/8/17,,
Panama Canal Expansion,Panama Canal Expansion,Panama,European Investment Bank Complaints Mechanism (EIB CM),European Investment Bank,SG/E/2011/05,Active,Gatun Lake Defense Committee (Comite ProDefensa del Lago Gatun),,Infrastructure,"Other, Other environmental",,3/9/11,,4/11/11,,11/5/12
Panama Canal Expansion,Panama Canal Expansion,Panama,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-PN-2011-014,Closed Without Results,,,,Other,,5/1/11,,,,
Panama Canal Expansion Program,Panama Canal Expansion Program,Panama,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-PN-2011-031,Closed With Results,"Alianza Pro Panama, Comite Pro Defensa del Lago Gatun",Project/investment lending,Infrastructure,"Biodiversity, Consultation and disclosure, Due diligence, Water",,10/10/11,10/17/11,2/12/12,,9/12/13
Panama Canal Expansion Project,Panama Canal Expansion Project,Panama,Japan Bank for International Cooperation Examiner for Environmental Guidelines (JBIC EEG),Japan Bank for International Cooperation,,Closed With Results,Alianza Pro Panama,Project/investment lending,Infrastructure,"Biodiversity, Consultation and disclosure, Displacement (physical and/or economic), Due diligence, Other environmental, Water",,8/4/11,,12/27/13,12/27/13,
Panama Canal Expansion-01/Gatun,Panama Canal Expansion-01/Gatun,Panama,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,83,Closed Without Results,Gatun Lake Defense Committee (Comite ProDefensa del Lago Gatun),Project/investment lending,Infrastructure,"Biodiversity, Displacement (physical and/or economic), Due diligence, Other community health and safety issues, Other environmental, Water",,5/13/11,,7/27/11,,
Pando Montelirio-01/Chiriqui,Pando Montelirio-01/Chiriqui,Panama,IFC/MIGA Compliance Advisor/Ombudsman (IFC CAO),IFC/MIGA,156,Closed Without Results,"Alliance for the Environmental High Lands Development, Association Macho de Monte, Association for the Conservation of the Biosphere, Association of Environmentalist Producers land of Santa Clara, Association of Producers of Exportable Crops, Association of Producers of Renacimiento, Colibri Ecological Association of Panama, Committee for the Defense of the Chiriqui Viejo River, Committee for the Defense of the Gariche River and its affluents, Ecological Association of Organic Producers of Rovira, Ecological Group of Renaissance for the Protection of the International Friendship Park, Environmentalist Association of Chiriqui, Foundation for the Communitarian Integral Development and Conservation of Ecosystems in Panama, Friends of the Earth, International Friendship Park, Missionary Center of Concepcion",Project/investment lending,"Energy, Infrastructure","Biodiversity, Consultation and disclosure, Due diligence, Other community health and safety issues, Other environmental, Pollution, Water",,1/27/10,,2/10/17,7/1/10,
Pando-Monte Lirio Hydroelectric Power Project,Pando-Monte Lirio Hydroelectric Power Project,Panama,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-PN-2010-002,Closed With Results,Alianza Ambiental Pro Defensa Integrada de Panama (AAPRODIPA),Project/investment lending,Energy,"Consultation and disclosure, Due diligence, Livelihoods, Other community health and safety issues, Water",,3/12/10,9/20/10,10/11/10,4/22/11,5/13/11
Pando-Monte Lirio Hydroelectric Power Project 2,Pando-Monte Lirio Hydroelectric Power Project,Panama,Inter-American Development Bank Independent Consultation and Investigation Mechanism (IDB MICI),Inter-American Development Bank,MICI-PN-2013-058,Closed Without Results,,,,Other,,4/1/13,,,,
"Paraguay/Argentina Reform Project for the Water and Telecommunication Sectors, SEGBA V Power Distribution Project (Yacyreta)","Paraguay/Argentina Reform Project for the Water and Telecommunication Sectors, SEGBA V Power Distribution Project (Yacyreta)","Argentina, Paraguay",World Bank Inspection Panel (WB Panel),World Bank,26,Closed With Results,Federacion de Afectados por Yacyreta de Itapua y Misiones (FEDAYIM),Project/investment lending,"Energy, Infrastructure","Displacement (physical and/or economic), Due diligence, Livelihoods, Other community health and safety issues, Pollution, Water",,5/17/02,5/30/02,8/23/02,,8/23/02
Parana Biodiversity Project,Parana Biodiversity Project,Brazil,World Bank Inspection Panel (WB Panel),World Bank,41,Closed With Results Outside Process,Unknown,Other,Conservation and environmental protection,Biodiversity,,7/10/06,7/11/06,9/11/06,,
Paravani Hydro Power Plant,Paravani Hydro Power Plant,Georgia,European Bank for Reconstruction and Development Project Complaint Mechanism (EBRD PCM),European Bank for Reconstruction and Development,2012/010,Monitoring,Association Green Alternative,"Equity Investment, Project/investment lending","Energy, Infrastructure","Biodiversity, Consultation and disclosure, Due diligence, Other community health and safety issues",,12/22/11,1/4/12,10/24/12,,10/24/12
